id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
337,蛇佬,稱謂,se lou,蛇4佬2,(沒有對應詞彙),,幫人偷渡(港澳)以詐財者
338,蛇王,稱謂,se wong,蛇4王4,懶蟲,懶骨頭,指極懶的人
339,蛇殼,動物,se hok,蛇4殼8,(沒有對應詞彙),,去皮去掉內臟的蛇
340,捨得,副詞,se dak,捨2得7,(不是粵方言詞),,
341,寫字,家具、日常用品,se zi toi,寫2字64*2,(不是粵方言詞),,
342,寫契,動詞,se kai,寫2契3,(不是粵方言詞),,
343,寫單,動詞,se daan,寫2單1,(不是粵方言詞),,
344,寫真,文化、娛樂,se zan,寫2真1,(不是粵方言詞),,舊指照著人畫像或照著相片畫像
345,瀉,動詞,se,瀉2,溢出,灑出,
346,社壇,房屋,se taan,社5壇4,社神所在,,
347,社公,其他,se gung,社5公1,社神,,
348,卸車,動詞,se ce,卸3車1,(不是粵方言詞),,把車上的東西搬下來。非粵方言詞。
349,卸貨,動詞,se fo,卸3貨3,(不是粵方言詞),,把貨物由車或船上搬下來。非粵方言詞。
350,卸膊,動詞,se bok,卸3膊8,(沒有對應詞彙),,把肩上的東西放下
351,,副詞,ge,3*2,的,,1)(表示較強的肯定語氣)2)(表示領屬關係)/(用於定語之後)3)的(表示敘述/肯定)4)(表疑問語氣)
352,奇離,形容詞,ke le,奇4離4,古怪,難看,
353,茄醬,飲食,ke zoeng,茄4*2醬3,西紅柿醬,,
354,茄汁,飲食,ke zap,茄4*2汁7,西紅柿汁,,
355,騎,動詞,ke,騎4,兩腿跨坐,,
356,騎籬,形容詞,ke lei gwaai,騎4籬42,(沒有對應詞彙),,一種會上樹會以尿射向敵人的青蛙
357,騎樓底,房屋,ke lau dai,騎4樓4*2底2,(沒有對應詞彙),,1)過街樓下的人行道2)上有架空建築物的人行道
358,騎牛搵馬,動詞,ke ngau wan maa,騎4牛4搵2馬5,騎馬找馬,(沒有對應詞彙),「騎馬找馬」喻已有職業但一直在找較好的職業
359,騎劫,動詞,ke gip,騎4劫8,打劫,搶劫,
360,騎膊馬,動詞,ke bok maa,騎4膊8馬5,(沒有對應詞彙),,小孩騎在大人肩上
361,椰子,植物、糧菜、果品,je zi,椰4子2,椰樹的果實,,
362,椰衣,植物、糧菜、果品,je ji,椰4衣1,(沒有對應詞彙),,1.椰子殼外的厚厚的棕狀皮。2.椰子果實外包的厚織維層
363,椰水,植物、糧菜、果品,je seoi,椰4水2,(沒有對應詞彙),,鮮椰子中的汁水
364,椰汁,植物、糧菜、果品,je zap,椰4*2汁7,(沒有對應詞彙),,鮮椰子肉榨出的汁
365,椰殼,植物、糧菜、果品,je hok,椰4*2殼7,椰子的硬殼,,
366,椰肉,植物、糧菜、果品,je juk,椰4肉9,(沒有對應詞彙),,椰子的白色肉質部分
367,爺爺,稱謂,je je,爺4爺4*2,祖父(面稱),,
368,野仔,稱謂,je zai,野5仔2,私生子,,
369,野雞,動物,je gai,野5雞1,山雞,,"""雉""""的通稱"
370,野味,飲食,je mei,野5味6*2,(沒有對應詞彙),,可作餚饌的野生動物。詞義與普通話相同。
371,野貓,動物,je maau,野5貓1,野生的貓,,"普通話也指""""無主的貓""""。"
372,野水鴨,動物,je seoi aap,野5水2鴨8,野鴨子,野鴨,
373,惹屎上身,動詞,je si soeng san,惹5屎2上5身1,惹一身臊,招來麻煩,
374,惹是惹非,動詞,je si je fei,惹5是6惹5非1,招惹是非,惹是生非,
375,,工具、材料,je,5,東西,物件,"本指東西,指人時帶輕視的口吻"
376,夜,時間、節令,je,夜6,(不是粵方言詞),,非粵方言詞
377,夜麻麻,形容詞,je maa maa,夜6麻1麻1,深夜,夜裏很晚,1.晚上黑暗貌。2.夜裡光極暗
378,夜鬼,稱謂,je gwai,夜3鬼2,夜貓子,,喜歡夜晚做事的人
379,夜游鶴,動物,je jau hok,夜6游4鶴9*2,池鷺,,鶴的一種
380,夜盜蟲,動物,je dou cung,夜6盜6蟲4,(沒有對應詞彙),,一種硬殼蟲
381,夜晚,時間、節令,je maan,夜6晚5,(不是粵方言詞),,非粵方言詞
382,夜船,商業、交通,je syun,夜6船4*2,(沒有對應詞彙),,夜班開航的內河輪船
383,夜冷,商業、交通,je laang,夜6冷1,二手貨,便宜貨,
384,夜冷貨,商業、交通,je laang fo,夜6冷1貨3,拍賣的貨物,,
385,夜工,其他,je gung,夜6工1,夜班,,
386,夜學,其他,je hok,夜6學9,夜校,,
387,撝,動詞,we,撝5,咧開(嘴),裂開(口子),
388,撝身,動詞,we san,撝5身1,(布匹)鬆,稀疏,
389,多,形容詞,do,多1,少,,
390,哆,動詞,do,哆1,話多,饒舌,
391,唾,動詞,toe,唾3,吐,,(不是粵方言詞。動詞時，普通話與粵語使用範圍不完全相同)
392,,動詞,loe,1,吐(無聲的),,慢慢地用舌頭頂往外吐
393,,動詞,loelei,16,大頭舌,,
394,朘,人體,zoe,朘1,小雞兒(俗),,小男孩的生殖器
395,,動詞,zoe,1,話多,喋喋不休,
396,聲,動詞,zoe zoe seng,11聲1,話多,嘰嘰喳喳,
397,杵,動詞,coe,杵2,鏟,,
398,瀡,動詞,soe,瀡4,滑動,,
399,瀡板,商業、交通,soe baan,瀡4板2,小孩玩的滑梯,,
400,鋸,文化、娛樂,goe,鋸3,鋸子,,
401,鋸牙,工具、材料,goe ngaa,鋸3牙4*2,鋸齒,,
402,鋸頸,動詞,goe geng,鋸3頸2,自刎,,
403,瘸,形容詞,koe,瘸4,肢體麻木,僵直不能動,
404,紶紶貢,形容詞,koe koe gung,紶8紶8貢3,(沒有對應詞彙),,衣服晾得重重疊疊、拖曳的樣子
405,靴,飲食,hoe,靴1,靴子,,
406,聲,其他,hoe hoe seng,11聲1,水初沸的聲音,,
407,譁,動詞,hoe,譁1,眾人起哄,喝倒彩,
408,波,文化、娛樂,bo,波1,球,,
409,波羅雞,飲食,bo lo gai,波1羅4雞1,(沒有對應詞彙),,指白吃/白拿人家的東西
410,波羅蓋,人體,bo lo goi,波1羅4蓋3,膝蓋骨,膝蓋,
411,波鞋,服飾,bo haai,波1鞋4,球鞋,,
412,波樓,文化、娛樂,bo lau,波1樓4*2,桌球房,,
413,波帽,服飾,bo mou,波1帽6*2,鴨舌帽,,
414,波衫,服飾,bo saam,波1衫1,球衣,運動衣,
415,波場,房屋,bo coeng,波1場4,球場,,
416,玻璃,工具、材料,bo lei,玻1璃4*1,(不是粵方言詞),,一種硬而脆的透明物體。不是粵方言詞。
417,玻璃瓦,工具、材料,bo lei ngaa,玻1璃4*1瓦5,(沒有對應詞彙),,嵌在屋頂上的透明瓦
418,笸籮,家具、日常用品,bo lo,笸1籮4*1,(不是粵方言詞),,竹子編的圓形器物
419,菠蘿,植物、糧菜、果品,bo bo,菠1蘿4,(不是粵方言詞),,(不是粵方言詞)
420,菠蘿麻,服飾,bo lo maa,菠1蘿4麻4,一種粗麻布,,
421,菠蘿釘,植物、糧菜、果品,bo lo deng,菠1蘿4釘1,(沒有對應詞彙),,菠蘿果皮上的一個個長有毛剌的小坑
422,菠蘿蜜,植物、糧菜、果品,bo lo mat,菠1蘿4蜜9,(不是粵方言詞),,(不是粵方言詞)
423,菠菜豆腐,飲食,bo coi dau fu,菠1菜3豆6腐6,(沒有對應詞彙),,"俗指不好的、不吉利的事情，也說""""冬瓜豆腐"""""
424,簸,動詞,bo,簸3,(沒有對應詞彙),,"用器物盛著糧食顛動,除去其中的糠秕和雜物"
425,簸箕,家具、日常用品,bo gei,簸3箕1,(沒有對應詞彙),,竹子編的圓形器具
426,樖,數量詞,po,樖1,棵,株,
427,婆媽,稱謂,po maa,婆4媽1,女傭,老媽子(輕聲),
428,婆,稱謂,po naa,婆4*22,女人,娘兒們,對不年輕的婦女不友好的稱呼
429,婆形,形容詞,po naa jing,婆4*22形,婦人氣,娘娘腔,(罵人話)
430,婆婆,稱謂,po po,婆4婆4*2,外祖母,姥姥,
431,婆仔髻,其他,po zai gai,婆4仔2髻3,(沒有對應詞彙),,舊時老太婆梳的小髻
432,破柴,動詞,po caai,破3柴4,劈柴,,
433,破氣,動詞,po hei,破3氣3,傷氣,傷身體,
434,破水囊,動詞,po seoi nong,破3水2囊4*2,破水,,產婦分娩前羊水流出
435,破金,動詞,po gam,破3金1,喉嚨變得沙啞,,
436,破爛,形容詞,po laan,破3爛6,(不是粵方言詞),,不是粵方言詞
437,破相,動詞,po soeng,破3相3,(不是粵方言詞),,不是粵方言詞
438,破日,時間、節令,po jat,破3日9*2,不吉利的日子,,
439,摩囉叉,稱謂,mo lo caa,摩1囉1叉1,(不是粵方言詞),,舊時對印度巡警的俗稱
440,摩囉綢,服飾,mo lo cau,摩1囉1綢4*2,(不是粵方言詞),,
441,摩登,形容詞,mo dang,摩1登1,(不是粵方言詞),,
442,摩托車,商業、交通,mo tok ce,摩1托8車1,(不是粵方言詞),,
443,摩,動詞,mo,摩1,(不是粵方言詞),,
444,摩頭摩髻,動詞,mo tau mo gai,摩1頭4摩1髻3,(不是粵方言詞),,
445,摩身摩勢,動詞,mo san mo sai,摩1身1摩1勢3,(不是粵方言詞),,撫摩身體的樣子
446,魔術,文化、娛樂,mo seot,魔1術6,戲法,,雜技之一
447,磨,動詞,mo,磨4,研磨,,1)舊時妾在背後稱其夫2)用磨來粉碎糧食(動詞)3)僕人背後稱其主人
448,磨穿席,動詞,mo cyun zek,磨4穿1席6,(沒有對應詞彙),,指留連某處不願走的人
449,摸,動詞,mo,摸2,(不是粵方言詞),,
450,摸茶杯底,動詞,mo zaa bui dai,摸2茶4杯1底2,(不是粵方言詞),,
451,摸酒杯底,動詞,mo zau bui dai,摸2酒2杯1底2,(不是粵方言詞),,
452,摸黑,動詞,mo hak,摸2黑7,(不是粵方言詞),,
453,磨,工具、材料,mo,磨6,磨(名詞),,
454,磨心,其他,mo sam,磨6心1,(比喻)受折磨,受氣的人,"「磨心」指""""磨的中軸"""",比喻受折磨、受氣的人"
455,磨碌,稱謂,mo luk,磨6碌7,(形容)矮胖的人,,"磨盤上面的磨扇,用來形容矮胖的人"
456,火遮眼,動詞,fo ze ngaan,火2遮1眼5,一時性起,突然發火,
457,火屎,其他,fo si,火2屎2,餘燼,,"1.燒剩下的未完全熄滅的柴或木炭。2.柴,炭等燃燒後的殘屑"
458,火起,形容詞,fo hei,火2起2,惱火,火兒了,
459,火氣,其他,fo hei,火2氣3,(不是粵方言詞),,非粵方言詞
460,火蓋頂,動詞,fo goi deng,火2蓋3頂2,突然怒氣沖天,怒髮衝冠,
461,火牛,工具、材料,fo ngau,火2牛4,變壓器,鎮流器,變壓器的俗稱
462,火候,其他,fo hau,火2候6,(不是粵方言詞),,烹飪時燒火時間的長短火力的大小。非粵方言詞。
463,火爐,家具、日常用品,fo lou,火2爐4,(沒有對應詞彙),,專指磚砌的大
464,火燒眼眉,動詞,fo siu ngaan mei,火2燒1眼5眉4,火燒眉毛,迫在眉睫,
465,火腿,飲食,fo teoi,火2腿2,(不是粵方言詞),,非粵方言詞
466,火水,工具、材料,fo seoi,火2水2,煤油,火油,
467,火鐮,工具、材料,fo lim,火2鐮4,(不是粵方言詞),,鐵製取火用具。非粵方言詞。
468,火鉗,工具、材料,fo kim,火2鉗4,(不是粵方言詞),,廚房用具。非粵方言詞。
469,火盆,工具、材料,fo pun,火2盆4,(不是粵方言詞),,取暖用的燒炭火的金屬盆。非粵方言詞。
470,火罐,工具、材料,fo gun,火2罐3,(不是粵方言詞),,非粵方言詞
471,火棒,工具、材料,fo paang,火2棒5,(不是粵方言詞),,非粵方言詞
472,火頸,形容詞,fo geng,火2頸2,易怒,易發火,
473,火紅火綠,形容詞,fo hung fo luk,火2紅4火2綠6,怒氣沖沖地,怒氣大,
474,火燭,其他,fo zuk,火2燭7,著火,火警,(普通話詞義為泛指可以引起火災的東西《現》506
475,火燭車,商業、交通,fo zuk ce,火2燭7車1,消防車,救火車,消防車的舊稱
476,伙,數量詞,fo,伙2,家,戶,用於人家
477,伙計,商業、交通,fo gei,伙2計3,(不是粵方言詞),,店舖中職工的舊稱。非粵方言詞。
478,伙頭,商業、交通,fo tau,伙2頭4*2,廚師,大師傅(的俗稱),
479,貨,商業、交通,fo,貨3,(不是粵方言詞),,
480,貨卡,商業、交通,fo kaa,貨3卡1,(沒有對應詞彙),貨車板,運貨的火車車板
481,貨車,商業、交通,fo ce,貨3車1,(不是粵方言詞),,運載貨物的汽車或火車
482,貨底,商業、交通,fo dai,貨3底2,次貨,,"「貨底」,賣剩下的貨,指""""次貨""""。普通話口語有此詞"
483,貨櫃,商業、交通,fo gwai,貨3櫃6,集裝箱,,
484,貨辦,商業、交通,fo baan,貨3辦6*2,貨物樣品,貸樣,
485,貨面,商業、交通,fo min,貨3面6*2,好貨,,"「貨面」,擺在櫃面上的貨,指""""好貨"""""
486,貨倉,房屋,fo cong,貨3倉1,(不是粵方言詞),,
487,貨腳,商業、交通,fo goek,貨3腳7,運貨費用,腳錢,
488,多多事幹,形容詞,do do si gon,多1多1事6幹3,事兒多,多管閑事,
489,多籮籮,形容詞,do lo lo,多1籮4籮4,很多很多,很多,"也作""""多羅羅"""""
490,多事,形容詞,do si,多1事6,多管閑事,事兒多,詞義與普通話不盡相同
491,多手,形容詞,do sau,多1手2,(沒有對應詞彙),,愛動人家的東西。詞義與普通話略有不同。
492,多口,形容詞,do hau,多1口2,多嘴,,
493,多除少補,動詞,do ceoi siu bou,多1除32少2補2,多退少補,,
494,多心,形容詞,do sam,多1心1,心眼兒多,想法多,詞義與普通話相同
495,多煩,形容詞,do faan,多1煩4,費心,煩勞,
496,多聲,其他,do seng,多1聲1,多嘴,說不該說的話,
497,多得,副詞,do dak,多1得7,多虧,感謝,
498,躲懶,動詞,do laan,躲2懶5,偷懶,,
499,嚲,動詞,doe,嚲2,下垂,下垂的弧形,
500,墮,動詞,do,墮6,(不是粵方言詞),,
501,墮落,形容詞,do lok,墮6落9,(不是粵方言詞),,
502,墮落雞,稱謂,do lok gai,墮6落9雞1,(不是粵方言詞),,
503,拖,動詞,to,拖1,(沒有對應詞彙),,用墩布擦洗。詞義與普通話相同。
504,拖卡,商業、交通,to kaa,拖1卡1,貨車的拖車,拖斗卡,
505,拖拉,動詞,to laai,拖1拉1,(不是粵方言詞),,非粵方言詞
506,拖鞋,服飾,to haai,拖1鞋4*2,(不是粵方言詞),,沒有後半鞋幫的便鞋。非粵方言詞。
507,拖地,動詞,to dei,拖1地6*2,接觸到地上,垂到地上,
508,拖友,稱謂,to jau,拖1友5*2,情人,戀人,
509,拖刀,其他,to dou,拖1刀1,(沒有對應詞彙),,用刀切物時沒有完全切斷
510,拖渡,商業、交通,to dou,拖1渡6*2,內河航行渡船,,
511,拖累,動詞,to leoi,拖1累6,(不是粵方言詞),,非粵方言詞
512,拖船,商業、交通,to syun,拖1船4,(沒有對應詞彙),,專門裝載貨物的船
513,拖落水,動詞,to lok seoi,拖1落9水2,受連累,被牽連,
514,拖落,動詞,to lok tam,拖1落92,(沒有對應詞彙),,使人沾上惡習 / 使人陷入困境
515,佗仔,動詞,to zai,佗4仔2,懷孕,,
516,佗手腳,形容詞,to sau lang goek,佗4手23腳8,拖住手腳,累贅,"也作""""佗手腳"""""
517,佗累,動詞,to leoi,佗4累6,拖累,連累,
518,佗衰,動詞,to seoi,佗4衰1,連累人倒霉,連累人倒運,
519,佗衰家,動詞,to seoi gaa,佗4衰1家1,敗家,,(罵人話)
520,砣,工具、材料,to,砣4,(不是粵方言詞),,不是粵語方言詞
521,駝背,人體,to bui,駝4背3,羅鍋兒,,
522,妥當,形容詞,to dong,妥2當3,完成得很好,,
523,糯米,植物、糧菜、果品,no mai,糯6米5,江米,,
524,糯米餈,飲食,no mai ci,糯6米5餈4,(沒有對應詞彙),,江米粉做的有餡的糰子
525,糯米餈荔枝,植物、糧菜、果品,no mau ci lai zi,糯6米5餈4荔6枝1,(沒有對應詞彙),,荔枝的一個優良品種
526,糯米屎,其他,no mai si fat,糯6米5屎21,(沒有對應詞彙),,形容到人家裏久坐不走
527,糯米雞,飲食,no mai gai,糯6米5雞1,一種常見食品,,
528,糯米酒,飲食,no mai zau,糯6米5酒2,(沒有對應詞彙),,糯米甜酒中加入白酒
529,糯米蕉,植物、糧菜、果品,no mai ziu,糯6米5蕉1,香蕉的一種,,
530,糯米甜酒,飲食,no mai tim zau,糯6米5甜4酒2,江米做的甜酒,,
531,糯米甜醋,飲食,no mai tim cou,糯6米5甜4醋3,江米做的甜醋,,
532,囉囉攣,形容詞,lo lo lyun,囉1囉1攣1,心中不寧,折騰,囉囉攣---身子不停地動。現在主要指心理上的不安。
533,囉嗦,形容詞,lo so,囉1嗦1,挑剔,難侍候,
534,囉柚,人體,lo jau,囉1柚6*2,屁股的俗稱,,
535,囉攣,形容詞,lo lyun,囉1攣1,心情不安寧,有難解決的事,
536,腡,人體,lo,腡4*2,圓形指紋,,
537,螺,動物,lo,螺4*2,螺螄,,
538,螺絲批,工具、材料,lo si pai,螺4絲1批1,改錐,螺絲刀,
539,螺絲口,工具、材料,lo si hau,螺4絲1口2,(沒有對應詞彙),,連接處有螺紋的
540,螺絲鑽,工具、材料,lo si zyun,螺4絲1鑽3*2,(沒有對應詞彙),,用以開啟木塞的工具
541,螺絲釘,工具、材料,lo si deng,螺4絲1釘1,有螺紋的釘子,,
542,螺帽,工具、材料,lo mou,螺4帽6*2,螺絲母,,
543,螺旋椅,家具、日常用品,lo syun ji,螺4旋4椅2,轉椅,,
544,螺殼粉,飲食,lo hok fan,螺4*2殼8粉2,(沒有對應詞彙),,用米粉做的螺殼形食品
545,羅斗,工具、材料,lo dau,羅4斗2,(沒有對應詞彙),,用來羅麵粉或米粉的器具
546,羅漢果,植物、糧菜、果品,lo hon gwo,羅4漢3果2,(沒有對應詞彙),,廣西等地產的一種果子
547,羅漢齋,飲食,lo hon zaai,羅4漢3齋1,一道著名素菜,,
548,羅漢,家具、日常用品,lo hon cong,羅4漢34,(沒有對應詞彙),,三面有欄的大炕床
549,羅經,工具、材料,lo gaang,羅4經1,(沒有對應詞彙),,風水先生用的羅盤
550,蘿蔔,植物、糧菜、果品,lo baak,蘿4蔔9,一種蔬菜,,
551,蘿蔔花,其他,lo baak faa,蘿4蔔9花1,一種眼病,,
552,蘿蔔刨,工具、材料,lo baak paau,蘿4蔔9刨4*2,擦絲器,,金屬做的擦絲器
553,蘿蔔頭,稱謂,lo baak tau,蘿4蔔9頭4,(沒有對應詞彙),日本人,1)舊時指日本侵略軍2)對日本人的不友好的稱呼
554,蘿蔔潤,飲食,lo baak jeon,蘿4蔔9潤6*2,鹹蘿蔔乾,,腌製的鹹蘿蔔乾
555,籮,家具、日常用品,lo,籮4,竹編的籮筐,小手提籃子,
556,籮底橙 ?,其他,lo dai caang,籮4底2橙4*2 ?,比喻剩貨,次貨,
557,籮,工具、材料,lo coeng,籮43,(沒有對應詞彙),,籮底交叉的兩尖的寬竹片
558,鑼,文化、娛樂,lo,鑼4,(沒有對應詞彙),,銅製的打擊樂器
559,鑼鼓手,文化、娛樂,lo gu sau,鑼4鼓2手2,(沒有對應詞彙),,為唱戲伴奏的樂師的統稱
560,,動詞,lo,2,討,要,
561,意頭,動詞,lo ji tau,2意3頭4,取好兆頭,討彩頭,
562,苦來辛,動詞,lo fu lai san,2苦2來4辛1,自找苦吃,,
563,來做,動詞,lo lai zou,2來4做3,不必做而做,做不必做的事情,
564,來笑,動詞,lo lai siu,2來4笑6,(沒有對應詞彙),,聊博一笑而非真心
565,來講,動詞,lo lei gong,2來4講2,(沒有對應詞彙),,說些沒有事實根據的話
566,彩,動詞,lo coi,2彩2,增光,露臉,
567,便宜,動詞,lo pin ji,2便4宜4,佔便宜,找便宜,
568,命,動詞,lo meng,2命6,要命,討命,"「命」,造成嚴重困難、事態嚴峻。同"""""""""
569,景,動詞,lo ging,2景2,揶揄,,
570,左手便,其他,zo sau bin,左2手2便6,左邊,,"同""""左便"""""
571,左口魚,動物,zo hau jyu,左2口2魚4*2,比目魚,偏口魚,比目魚的一種。
572,左右,副詞,zo jau,左2右6*2,(不是粵方言詞),,"非粵方言詞,普通話詞義更寬泛。"
573,左近,副詞,zo gan,左2近6,附近,,詞義與普通話相同
574,阻事,形容詞,zo si,阻2事6,費時間,耽誤事,
575,阻滯,形容詞,zo zai,阻2滯6,擋道,障礙,
576,阻頭阻路,動詞,zo tau zo lou,阻2頭4阻2路6,擋道,妨礙,"妨礙別人做事,同""""阻頭阻勢"""""
577,,副詞,zo,2,了,,
578,坐定粒六,其他,zo ding go lap luk,坐6定62粒7六6,確定,肯定,
579,坐向,動詞,zo hoeng,坐6向3,(房屋的)坐落方向,,詞義與普通話相同
580,坐食山崩,動詞,zo sik saan bang,坐6食9山1崩1,坐吃山空,,
581,座,數量詞,zo,座6,(沒有對應詞彙),,(量詞)多用於較大或固定的物體
582,座地燈,工具、材料,zo dei dang,座6地6燈1,落地燈,,
583,座地風扇,工具、材料,zo dei fong sin,座6地6風52扇6,落地電扇,,
584,座鐘,工具、材料,zo zung,座6鐘1,(不是粵方言詞),,老式的擺在桌上的鐘。不是粵語方言詞。
585,初初,副詞,co co,初1初1,起初,早先,
586,初哥,稱謂,co go,初1哥1,新手,不熟練者,初次做某種事情的人
587,初來暴到,其他,co lai bou dou,初1來4暴6到3,新來乍到,,
588,初生蛋,飲食,co saang daan,初1生1蛋6*2,(沒有對應詞彙),,小母雞生第一個蛋
589,初一流流,時間、節令,co jat lau lau,初1一7流4流4,(沒有對應詞彙),,"大年初一的,指節日的隆重氣氛"
590,搓,動詞,co,搓1,(沒有對應詞彙),,兩個手掌來回摩擦(詞義與普通話相同)
591,搓圓扁,動詞,co jyun gam bin,搓1圓46扁2,(沒有對應詞彙),,"做人能屈能伸,隨和,容易打交道"
592,鋤,動詞,co,鋤4,用鋤頭勞作,,
593,鋤頭,工具、材料,co tau,鋤4頭4,(沒有對應詞彙),,"鋤,耕田除草用的農具"
594,坐霸王車,動詞,co baa wong ce,坐5霸3王4車1,坐車不買票,,
595,坐夜,動詞,co je,坐5夜6*2,(沒有對應詞彙),,舊時指夜晚服侍或陪伴別人
596,坐櫃面,動詞,co gwai min,坐5櫃6面6*2,(指)店鋪掌櫃,,"「店鋪掌櫃」,站櫃檯、管收款的人"
597,坐監,動詞,co gaam,坐5監1,蹲監獄,坐牢,
598,坐穩車,動詞,co wan ce,坐5穩2車1,(沒有對應詞彙),,(祝詞)
599,坐穩船,動詞,co wan syun,坐5穩2船4,(沒有對應詞彙),,(祝詞)
